dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,comp_time,num_vehicles,num_orders
0.2,35,1.0,7723.01133450665,2247.7252011733176,4900.469466666666,574.8166666666667,true,0.20-35-1.00-0,123,19604,10,240
0.2,35,1.0,9623.545928668207,2226.3719786682072,6737.92395,659.25,true,0.20-35-1.00-1,123,22744,10,240
0.2,35,1.0,7019.960169739751,2260.0224364064184,4293.137733333333,466.8,true,0.20-35-1.00-2,123,21133,10,240
0.2,35,1.0,5043.970782761739,2258.3409160950728,2545.3298666666665,240.3,true,0.20-35-1.00-3,123,21960,10,240
0.2,35,1.0,4530.813471633531,2201.6744549668642,2107.07235,222.06666666666666,true,0.20-35-1.00-4,123,23507,10,240
0.2,35,1.0,7352.756938086629,2274.8455547532953,4604.07805,473.8333333333333,true,0.20-35-1.00-5,123,21492,10,240
0.2,35,1.0,6479.3110831709255,2305.898583170926,3789.795833333333,383.6166666666667,true,0.20-35-1.00-6,123,23499,10,240
0.2,35,1.0,6977.873694852684,2164.135544852684,4341.53815,472.2,true,0.20-35-1.00-7,123,23146,10,240
0.2,35,1.0,6570.077635094289,2155.4933517609556,3956.367616666667,458.21666666666664,true,0.20-35-1.00-8,123,19264,10,240
0.2,35,1.0,6542.4534689690345,2179.3545023023676,3946.6489666666666,416.45,true,0.20-35-1.00-9,123,21165,10,240
0.2,35,10.0,48455.48098849614,16420.31380516281,29508.950516666668,2526.2166666666667,true,0.20-35-10.00-0,123,3658566,100,2400
0.2,35,10.0,59908.31980567677,15912.186672343438,39772.2998,4223.833333333333,true,0.20-35-10.00-1,123,3016780,100,2400
0.2,35,10.0,59005.83895640792,16386.855873074583,38717.89975,3901.0833333333335,true,0.20-35-10.00-2,123,2806801,100,2400
0.2,35,10.0,46040.61563991962,16324.461956586287,27414.187016666667,2301.9666666666667,true,0.20-35-10.00-3,123,2799195,100,2400
0.2,35,10.0,54777.77982572738,16268.463625727383,34818.1662,3691.15,true,0.20-35-10.00-4,123,2976787,100,2400
0.2,35,10.0,48980.43401317087,16444.8390465042,29651.0283,2884.5666666666666,true,0.20-35-10.00-5,123,2887666,100,2400
0.2,35,10.0,52553.63570224946,16381.629768916126,32996.389266666665,3175.616666666667,true,0.20-35-10.00-6,123,3266553,100,2400
0.2,35,10.0,45250.20990156761,16723.35600156761,26147.1539,2379.7,true,0.20-35-10.00-7,123,3389888,100,2400
0.2,35,10.0,57368.07860276388,16371.396486097223,37237.04878333333,3759.633333333333,true,0.20-35-10.00-8,123,3023562,100,2400
0.2,35,10.0,46471.999666451025,16505.553033117692,27497.829966666668,2468.616666666667,true,0.20-35-10.00-9,123,3439863,100,2400
0.2,35,5.0,24962.09762221223,9042.631972212232,14510.198983333334,1409.2666666666667,true,0.20-35-5.00-0,123,784493,50,1200
0.2,35,5.0,23493.482433643578,8997.242100310243,13286.090333333334,1210.15,true,0.20-35-5.00-1,123,774777,50,1200
0.2,35,5.0,29015.367659032134,8957.639659032133,18135.661333333333,1922.0666666666666,true,0.20-35-5.00-2,123,688862,50,1200
0.2,35,5.0,23640.585487936187,8988.136004602851,13344.51615,1307.9333333333334,true,0.20-35-5.00-3,123,804497,50,1200
0.2,35,5.0,28611.601538109575,8949.219904776242,17871.181633333334,1791.2,true,0.20-35-5.00-4,123,741860,50,1200
0.2,35,5.0,30285.330034128518,8969.789284128517,19213.374083333332,2102.1666666666665,true,0.20-35-5.00-5,123,671221,50,1200
0.2,35,5.0,30910.254528228088,8794.132578228087,19978.088616666668,2138.0333333333333,true,0.20-35-5.00-6,123,698003,50,1200
